,"citrus fruit,semi-finished bread,margarine,ready soups"
5726,"sausage,whole milk,semi-finished bread,flour,fruit/vegetable juice,napkins"
5727,"pastry,soda,canned beer,white wine,newspapers"
5728,"sausage,citrus fruit,pip fruit,whole milk,dessert,domestic eggs,brown bread,margarine,specialty chocolate"
5729,"yogurt,rolls/buns"
5730,"pip fruit,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,sliced cheese,domestic eggs,soups,coffee,detergent"
5731,"sausage,whole milk,yogurt,hard cheese,domestic eggs,brown bread,salty snack,waffles,chocolate,newspapers"
5732,"ham,chicken,citrus fruit,other vegetables,whole milk,yogurt,whipped/sour cream,bottled beer,chocolate,softener,potted plants"
5733,"meat,whole milk,dessert,soft cheese,frozen meals,rolls/buns,misc. beverages,long life bakery product,chocolate,specialty bar"
5734,"other vegetables,butter,fruit/vegetable juice,salty snack,chocolate"
5735,"meat,chicken,citrus fruit,other vegetables,whole milk,yogurt,frozen vegetables,white bread,napkins"
5736,rolls/buns
5737,"chicken,hamburger meat,grapes,other vegetables,whipped/sour cream,brown bread,canned beer,sparkling wine,flower (seeds)"
5738,"sausage,root vegetables,whole milk,yogurt"
5739,canned beer
5740,yogurt
5741,"chicken,hamburger meat,other vegetables,frozen vegetables,rolls/buns,pastry"
5742,"hamburger meat,shopping bags"
5743,"whole milk,curd,pastry"
5744,"frankfurter,pip fruit,whole milk,soda"
5745,newspapers
5746,"whole milk,mayonnaise,soda,newspapers"
5747,"rolls/buns,canned beer"
5748,"other vegetables,whole milk,yogurt,whipped/sour cream,rolls/buns,waffles,seasonal products"
5749,"sausage,butter"
5750,"sausage,tropical fruit,root vegetables,other vegetables,whole milk,frozen vegetables,domestic eggs,flour,margarine,sugar,ketchup,baking powder,canned vegetables,bottled water,cooking chocolate,newspapers"
5751,canned beer
5752,"tropical fruit,berries,root vegetables,other vegetables,whole milk,cream cheese,frozen meals,white bread,soda,salty snack,napkins,shopping bags"
5753,"condensed milk,soda"
5754,"margarine,long life bakery product,candles"
5755,"whole milk,pet care"
5756,"yogurt,bottled water,canned beer,napkins"
5757,"processed cheese,rolls/buns,soda,flower (seeds)"
5758,"grapes,rolls/buns,pastry,bottled beer"
5759,canned beer
5760,soda
5761,"whole milk,rolls/buns,newspapers"
5762,"sausage,other vegetables,whole milk,yogurt,cream,frozen vegetables,frozen potato products,roll products,rice,cat food,misc. beverages,fruit/vegetable juice,bottled beer,salty snack,specialty chocolate"
5763,"pork,beverages,white bread"
5764,"pork,pip fruit,root vegetables,curd,yogurt,whipped/sour cream,UHT-milk,domestic eggs,salt,margarine,ketchup"
5765,"turkey,beef,semi-finished bread"
5766,"other vegetables,napkins"
5767,whipped/sour cream
5768,"hard cheese,salt,canned vegetables"
5769,"pork,hamburger meat,other vegetables,whole milk,brown bread,margarine,bottled water,bottled beer,flower (seeds)"
5770,"citrus fruit,berries,curd,yogurt,soda"
5771,"sausage,potted plants"
5772,"citrus fruit,other vegetables,frozen meals,domestic eggs,fruit/vegetable juice,potted plants"
5773,"other vegetables,curd cheese"
5774,"Instant food products,long life bakery product,specialty chocolate,cling film/bags,house keeping products"
5775,"sausage,root vegetables,ice cream,white bread,salt"
5776,"frankfurter,pip fruit,hard cheese,bottled water,chocolate"
5777,"chicken,flower (seeds)"
5778,"other vegetables,newspapers"
5779,"chicken,turkey,citrus fruit,tropical fruit,berries,onions,whole milk,yogurt,whipped/sour cream,rolls/buns,pastry,margarine,cat food,soda,kitchen utensil,potted plants"
5780,"chicken,other vegetables,dessert,soda"
5781,"ham,tropical fruit,butter,cream cheese,domestic eggs,white bread,pastry,tea,fruit/vegetable juice,chocolate,shopping bags"
5782,"pip fruit,whole milk,yogurt,specialty cheese,domestic eggs,salty snack,photo/film"
5783,"sausage,chicken,pork,root vegetables,other vegetables,whole milk,rolls/buns,fruit/vegetable juice,canned beer"
5784,"ham,beef,other vegetables,yogurt,canned fish"
5785,other vegetables
5786,"sausage,citrus fruit,other vegetables"
5787,"tropical fruit,other vegetables,whole milk,dessert,bottled water,soda,canned beer,seasonal products"
5788,"ham,tropical fruit,newspapers"
5789,"tropical fruit,rolls/buns,chocolate,chocolate marshmallow,newspapers"
5790,canned beer
5791,"sugar,white wine,newspapers"
5792,"bottled water,soda"
5793,"whole milk,yogurt,bottled beer"
5794,"pip fruit,other vegetables,butter milk,specialty cheese,frozen vegetables,white bread,sugar,coffee"
5795,"rolls/buns,coffee,salty snack,long life bakery product,waffles"
5796,"whole milk,whipped/sour cream,domestic eggs,bottled water,soda,specialty chocolate,potted plants"
5797,"hamburger meat,berries,other vegetables"
5798,"soda,candy"
5799,"whipped/sour cream,long life bakery product,napkins,potted plants"
5800,"organic sausage,other vegetables,liquor (appetizer),red/blush wine"
5801,"onions,other vegetables"
5802,"sausage,chicken,pork,other vegetables,whole milk,butter,yogurt,margarine,fruit/vegetable juice,bottled beer"
5803,"sausage,beef,citrus fruit,tropical fruit,berries,root vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,cling film/bags"
5804,"root vegetables,other vegetables,whole milk,pastry,cling film/bags,shopping bags"
5805,"root vegetables,other vegetables,butter,rolls/buns,flour,bottled water,liquor,candy"
5806,"pork,onions,other vegetables,butter,dessert,beverages,UHT-milk,specialty cheese,frozen vegetables,rolls/buns,coffee,shopping bags"
5807,"whole milk,curd,soda,light bulbs,potted plants,shopping bags"
5808,"ham,organic sausage,tropical fruit,pip fruit,onions,other vegetables,whole milk,butter,curd,yogurt,sliced cheese,salt,margarine,jam,bottled beer,chewing gum,abrasive cleaner"
5809,"frankfurter,meat,beef,other vegetables,frozen vegetables,white bread,pastry,soups,pickled vegetables,specialty vegetables,cat food,soda"
5810,"UHT-milk,bottled water,chewing gum,cling film/bags,shopping bags"
5811,"frozen vegetables,soda"
5812,"pip fruit,frozen meals,ice cream,fruit/vegetable juice"
5813,"tropical fruit,root vegetables,domestic eggs"
5814,"meat,organic sausage,citrus fruit,whole milk,oil,soups"
5815,"other vegetables,white bread,soda,bottled beer"
5816,"root vegetables,other vegetables,sparkling wine,popcorn,shopping bags"
5817,liqueur
5818,soda
5819,"margarine,soda"
5820,"frankfurter,beef,pip fruit,root vegetables,other vegetables,curd,yogurt,margarine,sugar"
5821,sugar
5822,"sausage,tropical fruit,butter milk,spread cheese,tidbits,bottled water,soda,bottled beer"
5823,"chicken,root vegetables,other vegetables,whipped/sour cream,margarine,sauces,canned beer,shopping bags"
5824,"domestic eggs,pastry"
5825,"condensed milk,pastry,female sanitary products,shopping bags"
5826,"canned beer,shopping bags"
5827,"frankfurter,meat,pork,citrus fruit,yogurt,whipped/sour cream,frozen vegetables,frozen potato products,soda"
5828,"pork,tropical fruit,yogurt,sugar,bottled water,light bulbs"
5829,whole milk
5830,"tropical fruit,whole milk,beverages,rolls/buns"
5831,"pork,tropical fruit,yogurt,white bread,fruit/vegetable juice"
5832,"root vegetables,other vegetables,specialty chocolate"
5833,"citrus fruit,soda,misc. beverages"
5834,house keeping products
5835,pip fruit
5836,"ham,pip fruit,yogurt,frozen meals,bottled water,soda,napkins"
5837,"waffles,newspapers"
5838,"beverages,UHT-milk,zwieback,misc. beverages"
5839,beverages
5840,"citrus fruit,pip fruit,berries,frozen fish,white bread,pastry,long life bakery product,waffles,specialty bar,newspapers"
5841,"ice cream,white bread,red/blush wine,salty snack,chocolate,specialty chocolate,dental care"
5842,"salty snack,chocolate"
5843,rolls/buns
5844,"white bread,brown bread"
5845,"tropical fruit,pip fruit,berries,ice cream,white bread"
5846,chocolate
5847,"whole milk,frozen vegetables,pastry,cleaner"
5848,yogurt
5849,"coffee,red/blush wine"
5850,soda
5851,"butter milk,hard cheese,instant coffee"
5852,"pork,root vegetables,other vegetables,pastry"
5853,"condensed milk,tidbits,rolls/buns,coffee,bottled water,soda,misc. beverages,cake bar"
5854,"sugar,coffee"
5855,"frankfurter,sausage,onions,other vegetables,curd,dessert,condensed milk,soft cheese,rolls/buns,pastry,potato products,soda,rum,specialty chocolate,shopping bags"
5856,"sausage,packaged fruit/vegetables,yogurt,rolls/buns,seasonal products"
5857,bottled water
5858,"sausage,beef,tropical fruit,root vegetables,other vegetables,whole milk,brown bread,newspapers"
5859,salty snack
5860,light bulbs
5861,"onions,whole milk,canned beer,hygiene articles,shopping bags"
5862,"tropical fruit,whole milk,yogurt,ice cream,bottled water,soda,hygiene articles,napkins"
5863,"soups,canned vegetables"
5864,whole milk
5865,"bottled water,soda,female sanitary products"
5866,"other vegetables,whole milk,brown bread"
5867,"soda,bottled beer,liquor"
5868,"frankfurter,other vegetables"
5869,"domestic eggs,pastry,hygiene articles"
5870,"curd cheese,bottled beer"
5871,"butter,hard cheese,white bread,chocolate,candy"
5872,"whole milk,cream cheese,roll products,napkins,dishes,cling film/bags"
5873,pastry
5874,"tropical fruit,oil"
5875,"misc. beverages,canned beer"
5876,other vegetables
5877,"root vegetables,bottled beer,chocolate"
5878,"ham,tropical fruit,dog food,soda,canned beer"
5879,rolls/buns
5880,"pastry,soda"
5881,fruit/vegetable juice
5882,chewing gum
5883,"sausage,root vegetables,packaged fruit/vegetables,yogurt,frozen potato products,brown bread,soda,candy"
5884,"other vegetables,condensed milk,coffee,detergent"
5885,"whole milk,pastry"
5886,"root vegetables,onions,other vegetables,whole milk"
5887,ice cream
5888,canned beer
5889,"tropical fruit,other vegetables,yogurt,chewing gum"
5890,"citrus fruit,other vegetables,packaged fruit/vegetables,yogurt,margarine,sugar,artif. sweetener,baking powder,candles"
5891,"specialty chocolate,photo/film"
5892,candy
5893,"margarine,pickled vegetables,coffee,bottled beer,chocolate marshmallow"
5894,"other vegetables,frozen meals,domestic eggs"
5895,"tropical fruit,other vegetables,newspapers"
5896,"tropical fruit,other vegetables,yogurt"
5897,specialty chocolate
5898,"frankfurter,sausage,tropical fruit,whole milk,yogurt,whipped/sour cream,white bread,flour,oil,soda,hygiene articles"
5899,"misc. beverages,waffles,candy"
5900,"tropical fruit,grapes,other vegetables,curd,beverages,pastry,nut snack"
5901,"ham,whole milk,white bread,bottled beer"
5902,"other vegetables,soft cheese,frozen meals,brown bread,canned fish"
5903,"tropical fruit,root vegetables,other vegetables,curd,yogurt,whipped/sour cream,cream cheese,margarine,bottled water,newspapers"
5904,canned beer
5905,beef
5906,"hamburger meat,whole milk,coffee"
5907,"whole milk,dessert,beverages,detergent,flower (seeds)"
5908,"finished products,beef,citrus fruit,yogurt,frozen potato products,pastry,soups,coffee,candy"
5909,"other vegetables,yogurt,white bread"
5910,"citrus fruit,other vegetables,UHT-milk,rolls/buns,flour"
5911,"sausage,other vegetables,rolls/buns,fruit/vegetable juice"
5912,"sausage,yogurt,rolls/buns"
5913,"pork,newspapers"
5914,"berries,other vegetables,yogurt,margarine,mustard,fruit/vegetable juice,detergent"
5915,"sausage,pip fruit,processed cheese,frozen meals,pastry,semi-finished bread,dog food,syrup"
5916,"berries,pastry,sugar,soda,chocolate,make up remover"
5917,"sausage,liver loaf,ham,pip fruit,yogurt,soft cheese,sliced cheese,rolls/buns,white bread,brown bread,pastry,soda,canned beer,newspapers,shopping bags"
5918,pasta
5919,"other vegetables,chocolate marshmallow"
5920,"sausage,beef,hamburger meat,other vegetables,whole milk,butter,domestic eggs,roll products,sauces,bottled beer"
5921,"other vegetables,curd,soups,pudding powder,canned fish"
5922,"frankfurter,sausage,pork,pip fruit,onions,whole milk,domestic eggs,brown bread,hygiene articles,newspapers"
5923,sausage
5924,"UHT-milk,brown bread,mustard,coffee,soda,dish cleaner"
5925,"whole milk,butter"
5926,"misc. beverages,napkins"
5927,"liver loaf,dessert,domestic eggs,soda,cleaner,shopping bags"
5928,"pet care,bottled water,soda,liquor (appetizer)"
5929,"whole milk,whipped/sour cream,cream cheese,soda"
5930,"chicken,other vegetables"
5931,"dessert,long life bakery product"
5932,"pork,beef,soda,canned beer"
5933,"beef,root vegetables,packaged fruit/vegetables,whole milk,rolls/buns,pastry,oil,bottled water,soda,canned beer"
5934,"soda,soap"
5935,"pet care,coffee,bottled beer"
5936,"root vegetables,whipped/sour cream"
5937,"tropical fruit,pip fruit,whole milk,yogurt,frozen meals,rolls/buns,soda,candy,kitchen towels"
5938,"chicken,root vegetables,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,soda"
5939,"soda,misc. beverages"
5940,"chicken,root vegetables"
5941,"tropical fruit,yogurt,beverages,UHT-milk,fruit/vegetable juice,hygiene articles"
5942,"beverages,specialty bar"
5943,onions
5944,"whole milk,bottled beer,rum"
5945,"chicken,soda"
5946,"tropical fruit,yogurt,frozen dessert,domestic eggs,tea"
5947,"citrus fruit,bottled water,dishes"
5948,"semi-finished bread,bottled beer,liquor"
5949,"tropical fruit,other vegetables,curd,dessert,sliced cheese,white bread,soda,fruit/vegetable juice"
5950,"hamburger meat,citrus fruit,tropical fruit,whole milk,yogurt,brown bread,napkins,shopping bags"
5951,"sausage,hamburger meat,whole milk,dessert,rolls/buns,specialty chocolate,detergent"
5952,"tropical fruit,other vegetables,pastry,long life bakery product,waffles,chocolate,specialty bar,shopping bags"
5953,curd
5954,"tropical fruit,yogurt,rolls/buns"
5955,"tropical fruit,other vegetables,pickled vegetables"
5956,"whole milk,whipped/sour cream,pastry,salty snack,long life bakery product,chewing gum"
5957,zwieback
5958,"cream cheese,spread cheese"
5959,"rolls/buns,specialty bar"
5960,"meat,tropical fruit,other vegetables,candy"
5961,"brown bread,sauces,pet care"
5962,soda
5963,"UHT-milk,brown bread,coffee,shopping bags"
5964,"frankfurter,organic sausage,whole milk,chewing gum"
5965,"meat,chicken,root vegetables,other vegetables,whole milk,whipped/sour cream,rolls/buns,abrasive cleaner,cleaner,napkins,house keeping products"
5966,whole milk
5967,"sausage,hamburger meat,packaged fruit/vegetables,whole milk,processed cheese,frozen vegetables,rolls/buns,white bread,tea,long life bakery product,cling film/bags,photo/film"
5968,"herbs,other vegetables,sliced cheese,cream cheese,salt,oil,margarine,fruit/vegetable juice,bottled beer,chewing gum,hygiene articles"
5969,"whole milk,butter milk"
5970,other vegetables
5971,"brown bread,jam,fruit/vegetable juice"
5972,whipped/sour cream
5973,"other vegetables,baking powder,napkins"
5974,"pork,tropical fruit,whole milk,rolls/buns,chocolate,newspapers"
5975,flower soil/fertilizer
5976,"whole milk,bottled water"
5977,"grapes,root vegetables,whole milk,curd,whipped/sour cream,jam"
5978,"liver loaf,pork,citrus fruit,other vegetables,yogurt,misc. beverages"
5979,rolls/buns
5980,"citrus fruit,tropical fruit,onions,whole milk,domestic eggs,cat food"
5981,"sausage,whole milk"
5982,"pastry,jam"
5983,"beverages,bottled water,long life bakery product"
5984,"beverages,brown bread,pastry,soda,newspapers,shopping bags"
5985,"other vegetables,whole milk,brown bread,cat food,chewing gum,napkins"
5986,"tropical fruit,packaged fruit/vegetables,sliced cheese"
5987,"beef,root vegetables,white bread,soda"
5988,"frozen dessert,margarine,canned fruit,soda,shopping bags"
5989,soda
5990,"pork,specialty vegetables,bottled water,soda,bottled beer"
5991,"rolls/buns,bottled water,dental care,shopping bags"
5992,"domestic eggs,salty snack,popcorn,napkins"
5993,"whole milk,jam,canned fish,waffles"
5994,candy
5995,"pork,other vegetables,curd,whipped/sour cream,brown bread,oil,sugar,ketchup,salty snack"
5996,"frankfurter,meat,pip fruit,ice cream,brown bread,pickled vegetables,jam,canned fish,liquor,waffles,newspapers"
5997,"ham,UHT-milk"
5998,salty snack
5999,"whole milk,cake bar"
6000,canned beer
6001,newspapers
6002,"hard cheese,rolls/buns,sugar,candy"
6003,"tropical fruit,root vegetables,whole milk,butter,chocolate"
6004,"yogurt,margarine,fruit/vegetable juice,shopping bags"
6005,"tropical fruit,whole milk,processed cheese,brown bread,flour,sugar,sauces,pet care"
